shoulder_yaw,shoulder_pitch,elbow_pitch,elbow_roll,wrist_pitch,wrist_roll,Act EE x,Act EE y,Act EE z,Act EE x_or,Act EE y_or,Act EE z_or,Act EE_w_or,Timestamp,Timestep,Euler X,Euler Y,Euler Z
0.15256,-1.82078,2.05717,0.83769,-0.34582,0.80359,0.51694,0.03216,0.30198,0.7202,-0.03685,-0.03527,0.69188,1714866345,0,1.610911627,-0.00018865,-0.102062293
0.15714,-1.83318,2.10146,0.74111,-0.39645,0.90426,0.51145,0.03194,0.29375,0.72037,-0.04892,-0.02602,0.69137,1714866345,0.24,1.613485473,-0.03016029,-0.10671121
0.16006,-1.84284,2.17864,0.62967,-0.46695,1.02479,0.5044,0.03144,0.26917,0.72041,-0.0562,-0.01972,0.69099,1714866346,0.48,1.615157424,-0.049273993,-0.10857087
0.16159,-1.80956,2.2599,0.506,-0.58974,1.16438,0.50443,0.03134,0.23147,0.72023,-0.0668,-0.01113,0.69042,1714866346,0.72,1.617338398,-0.076281968,-0.11215222
0.15906,-1.76927,2.2984,0.43754,-0.66174,1.23097,0.50772,0.03241,0.20489,0.7166,-0.06637,-0.00691,0.69428,1714866346,0.96,1.606774304,-0.082348932,-0.105267542
0.15491,-1.7075,2.31985,0.38976,-0.73264,1.27924,0.51525,0.03271,0.17626,0.71319,-0.06433,-0.0076,0.69797,1714866346,1.2,1.596437676,-0.079042755,-0.102870312
0.14804,-1.61648,2.32198,0.34371,-0.8287,1.33638,0.52798,0.03218,0.14747,0.71295,-0.06861,-0.00399,0.69784,1714866347,1.44,1.596913842,-0.090190341,-0.104008991
0.14418,-1.56682,2.30769,0.32407,-0.87388,1.36056,0.53701,0.03226,0.13802,0.71323,-0.07312,0.00086,0.6971,1714866347,1.68,1.599045435,-0.103355325,-0.103844189
0.13821,-1.48784,2.28728,0.30116,-0.93999,1.39197,0.55003,0.03177,0.11928,0.71365,-0.07767,0.00462,0.69617,1714866347,1.92,1.601659867,-0.11499008,-0.105314256
0.1317,-1.40909,2.25876,0.28752,-0.98675,1.41506,0.56409,0.03061,0.09952,0.71458,-0.07864,0.0033,0.69511,1714866347,2.16,1.604643679,-0.114292064,-0.108723688
0.11918,-1.26724,2.16137,0.27263,-0.98754,1.4278,0.60011,0.03014,0.06663,0.71362,-0.06448,-0.01119,0.69747,1714866347,2.4,1.597694797,-0.074042492,-0.108144125
